address,链,entity_type,entity_name,infrastructure_level,exclusion_reason,structure_relevance,risk_relevance,keep_edges,sikk_remark
Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4,sol,LP/Pool,pump_amm,I1,LP池子不进入普通钱包评分,中,低,是,保留交易/流动性关系边
GnRFFi8CW1gVuUKYyoFjm4cxfAfX1iE2iGgp7DSwJJB5,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk,sol,Router/TradingTool,GMGN返回native_from,I3,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
22zjkDKzquzFCCvnxRSYQU1Bb6gSu52LTEU3ZCBBQYuf,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
BNuebGMyAsrLytsS13whc3qUqbnM9mVwUJcumD31m5zA,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
GCRJD52pGwcCSs4oswYxTBCPatxY1P6WpxCC9R9zty6r,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
GfjD8eab6ebLRnbvjMHo2P11JFKrv2xrkVXVdQtktwTk,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
8J7NGPfkD4oF2Pu8zXbxNvNfqhjaW668WnkNu7VrUv17,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
7RXn9SgZi41SnZh6PEajvUYo19A1mprxFSj8Ss8iDPYz,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
69SNcRC8NqjHBSXEcugCN5oFKRQoKmddmWzZYc3tqtxk,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
6DzirPhgXBUnCauAJogRhZweZ4GjNnD337k7DHhGxVXr,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
E9wq5iKcQ55Jwnm7AckXd6MWQazLx5kW2w9gaPJ4QKKt,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,sol,FundingSourceCandidate,GMGN返回native_from,I2,资金来源/交易工具候选，不进入普通钱包评分,中,中,是,保留funding_source边，待跨币复现确认
