address	chain	entity_type	entity_name	infrastructure_level	exclusion_reason	structure_relevance	risk_relevance	keep_edges	sikk_remark
Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4	sol	LP/Pool	pump_amm	I1	LP池子不进入普通钱包评分	中	低	是	保留交易/流动性关系边
GnRFFi8CW1gVuUKYyoFjm4cxfAfX1iE2iGgp7DSwJJB5	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
DoAsxPQgiyAxyaJNvpAAUb2ups6rbJRdYrCPyWxwRxBb	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk	sol	Router/TradingTool	GMGN返回native_from	I3	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
22zjkDKzquzFCCvnxRSYQU1Bb6gSu52LTEU3ZCBBQYuf	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
CCjSeiVUuUfqiUm9zok6AEWKca3HKogSQgToLpDrg8g5	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
BNuebGMyAsrLytsS13whc3qUqbnM9mVwUJcumD31m5zA	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
GfjD8eab6ebLRnbvjMHo2P11JFKrv2xrkVXVdQtktwTk	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
8J7NGPfkD4oF2Pu8zXbxNvNfqhjaW668WnkNu7VrUv17	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
fr6yQkDmWy6R6pecbUsxXaw6EvRJznZ2HsK5frQgud8	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
7RXn9SgZi41SnZh6PEajvUYo19A1mprxFSj8Ss8iDPYz	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
69SNcRC8NqjHBSXEcugCN5oFKRQoKmddmWzZYc3tqtxk	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
ATFRUwvyMh61w2Ab6AZxUyxsAfiiuG1RqL6iv3Vi9q2B	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
E9wq5iKcQ55Jwnm7AckXd6MWQazLx5kW2w9gaPJ4QKKt	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
E8aQ18Xbr8FgKq5M7cQnuvJUwU8ZsningNLhcEDAPD8Y	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
DhFPu6pyMjnpqWEyct53d93vNp7puSLLnv4sm9VXwkiS	sol	FundingSourceCandidate	GMGN返回native_from	I2	资金来源/交易工具候选，不进入普通钱包评分	中	中	是	保留funding_source边，待跨币复现确认
