代币地址,代币符号,当前状态,状态原因,候选筛选等级,吸筹窗口状态,T_start,T_end,信号等级,风险门禁,建议纸面仓位SOL,钱包结构结论,钱包结构系数,钱包结构评分,钱包风险评分,钱包结构原因,策略类型,更新时间,模式
iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump,NKT,BLOCKED,钱包结构门禁阻断：多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,S3_进入SIKK结构分析,valid,2026-05-02 00:53:00 UTC,2026-05-02 00:56:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.094456,WALLET_BLOCK,0.0,100,100,多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,SIKK-B 控盘箱体突破回踩,2026-05-02T05:00:42Z,paper/readiness
9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump,UNIPUMP,BLOCKED,钱包结构门禁阻断：多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,S3_进入SIKK结构分析,valid,2026-05-01 19:27:00 UTC,2026-05-01 19:33:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.125662,WALLET_BLOCK,0.0,100,100,多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,SIKK-B 控盘箱体突破回踩,2026-05-02T05:00:42Z,paper/readiness
F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump,lolcat,BLOCKED,钱包结构门禁阻断：多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,S3_进入SIKK结构分析,valid,2026-05-01 14:39:00 UTC,2026-05-01 14:42:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.150147,WALLET_BLOCK,0.0,100,100,多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,SIKK-B 控盘箱体突破回踩,2026-05-02T05:00:42Z,paper/readiness
ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,AALIEN,BLOCKED,钱包结构门禁阻断：发现分发派发/接收相关钱包 2 个；多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,S3_进入SIKK结构分析,valid,2026-04-30 16:43:00 UTC,2026-04-30 16:49:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.185696,WALLET_BLOCK,0.0,100,100,发现分发派发/接收相关钱包 2 个；多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,SIKK-B 控盘箱体突破回踩,2026-05-02T05:00:42Z,paper/readiness
AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk,HIIE,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-04-29 07:58:00 UTC,2026-04-29 08:04:00 UTC,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump,1000x,BLOCKED,钱包结构门禁阻断：发现分发派发/接收相关钱包 4 个；多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,S3_进入SIKK结构分析,valid,2026-04-28 22:51:00 UTC,2026-04-28 22:57:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.060928,WALLET_BLOCK,0.0,100,100,发现分发派发/接收相关钱包 4 个；多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,SIKK-B 控盘箱体突破回踩,2026-05-02T05:00:42Z,paper/readiness
9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump,SCRIBBELON,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-05-01 21:02:00 UTC,2026-05-01 21:07:00 UTC,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump,freetrump,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-05-02 00:46:00 UTC,2026-05-02 00:49:00 UTC,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA,UNITED,BLOCKED,钱包结构门禁阻断：发现分发派发/接收相关钱包 5 个；多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,S3_进入SIKK结构分析,valid,2026-04-29 16:37:00 UTC,2026-04-29 16:41:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.056305,WALLET_BLOCK,0.0,100,100,发现分发派发/接收相关钱包 5 个；多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,SIKK-B 控盘箱体突破回踩,2026-05-02T05:00:42Z,paper/readiness
21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump,GRUMP,BLOCKED,钱包结构门禁阻断：多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,S3_进入SIKK结构分析,valid,2026-05-01 22:19:00 UTC,2026-05-01 22:22:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.2,WALLET_BLOCK,0.0,100,100,多个新钱包/临时执行钱包资金待查，暂不强判同源；E3/E4 正向结构钱包仍有持仓或结果证据,SIKK-B 控盘箱体突破回踩,2026-05-02T05:00:42Z,paper/readiness
