target_name,judgment_target,required_fields,optional_fields,upstream_sources,raw_data_shape,normalized_fields,analysis_usage,degradation_rules
疑似同源钱包,多个钱包是否来自同一资金部署或同一执行组,资金来源地址 | 首次入金时间 | 入金金额 | 买入时间 | 买入 token | 买入金额 | 交易路径,Gas 模式 | 交易频率 | 钱包创建时间 | 是否同步买入 | 是否同步卖出 | 是否共同接收资金 | 是否共享中转节点,GMGN holders | GMGN traders | GMGN wallet profile | 链上 tx / trace | 内部 address edge history,入金 tx | 转账事件 | 买入事件 | 钱包创建事件 | 边关系记录,funding_source_address | first_funding_time | first_funding_amount | first_buy_time | first_buy_token | first_buy_amount | tx_path | gas_pattern | wallet_create_time | synchronous_buy_flag | synchronous_sell_flag | shared_funding_flag | shared_intermediate_node_flag,生成同源执行组、同源候选组、资金待查组,缺少资金来源或链上路径时，只能写同步买入候选组或资金待查组，不得强判同源
同步执行候选组,是否存在同一时间窗口内的批量执行行为,买入时间 | 买入 token | 买入金额 | 钱包创建时间 | 是否新钱包,资金来源 | Gas 模式 | 转入金额 | 转入时间 | GMGN bundler/sniper/fresh 标签,GMGN traders | GMGN holders | GMGN tags | 链上 tx,同窗口交易行 | 地址标签 | 资金边,first_buy_time | buy_time_bucket | wallet_create_time | is_new_wallet | same_window_group_id | buy_amount_bucket | gmgn_tags,识别批量执行、狙击批次、临时执行钱包,只能降级为时间接近候选组，不能写同源组
疑似临时执行钱包,钱包是否为临时创建、短期使用、完成买卖后退出,钱包创建时间 | 首次买入时间 | 持有时长 | 资金转入时间 | 资金转出时间,单 token 参与度 | 历史复现 | 是否仅服务单次事件 | 卖出后余额变化,GMGN wallet profile | GMGN activity | 链上 tx,钱包创建记录 | 买卖记录 | 转账记录,wallet_create_time | first_buy_time | holding_duration_type | funding_before_buy_minutes | total_transfer_out | single_token_only_flag,区分执行钱包与普通散户,缺少创建时间或转账路径时，只能写临时执行候选
疑似新钱包狙击,新钱包是否在早期窗口快速买入,钱包创建时间 | 首次买入时间 | 买入延迟 | 买入金额 | 买入市值阶段,bundler/sniper/fresh 标签 | 是否同批入场 | 是否高频短持,GMGN traders | GMGN wallet profile | GMGN market kline,钱包画像 | 交易时间戳 | K线阶段,wallet_create_time | first_buy_time | first_buy_delay_minutes | entry_stage | is_new_wallet | is_sniper | gmgn_tags,锁定 W1/W2 早期狙击钱包,没有创建时间时，只能写早期买入候选，不能直接写新狙击
Token 接收钱包 / 被动接收钱包,地址持有 token 是主动买入还是被动收到,Token 来源 | 转入时间 | 转入金额 | 是否有主动 swap 买入,空投标记 | 分发标记 | LP/池交互 | Token 去向,GMGN activity | GMGN holders | 链上 transfer trace,token transfer | holder 变动 | 交易事件,token_source_type | token_source_address | token_source_time | token_source_amount | is_transferred_token | is_airdrop_token | is_distributed_token | is_market_buy_token,区分主动买盘与被动接收噪音,无法确认主动买入时，只能写 Token 接收钱包或待查
疑似分发接收 / 分发派发钱包,钱包是否处于 token 分发链条的接收端或派发端,Token 来源 | 转入来源 | 后续卖出 / 转出 | 卖出时间 | 卖出数量,是否同一上游分发源 | 是否多地址接收 | 是否后续集中卖出 | 是否回流,GMGN activity | GMGN holders | 链上 trace,distribution tx | sell tx | 转出边,token_source_type | token_source_address | token_out_type | token_out_address | first_sell_time | is_partial_exit | is_full_exit,识别早期分发、派发出货、接盘风险,只看到接收而无后续卖出时，只能写分发接收候选
早期结构资金是否还没出完,早期买入资金是否仍留在持仓中，还是已开始派发,早期买入钱包列表 | 初始买入数量 | 当前剩余持仓 | 已卖出数量,卖出时间 | 卖出价格 | 是否仍在 Top Holder | 是否转移到新钱包 | 是否分发给接盘钱包,GMGN holders | GMGN traders | GMGN wallet profile | 历史边库,持仓快照 | 卖出事件 | 地址关系边 | Top Holder 变动,early_wallet_list | initial_buy_amount | current_position_remaining | sold_amount | last_sell_time | last_sell_price | is_top_holder_now | transferred_to_new_wallet_flag | distributed_to_bagholder_flag | holding_change_trend,判断派发是否结束、是否仍有结构筹码未出完,缺少剩余持仓或卖出事件时，只能写早期结构资金待查
结果钱包 / 高结果鲸鱼,钱包是否具备稳定盈利结果，或属于高结果鲸鱼,已实现利润 | 未实现利润 | 总利润 | 胜率 | 样本数 | 历史复现,进入时间 | 退出质量 | 是否稳定复现 | 是否单次暴富,GMGN wallet profile | GMGN traders | 内部历史库,盈亏页 | 历史收益记录 | 持仓记录,realized_profit | unrealized_profit | total_profit | winrate | sample_count | entry_time | exit_quality | historical_recurrence_flag,区分结果钱包、高结果鲸鱼、单次暴富钱包,样本数不足时只能写结果钱包候选或单次暴富候选
接盘鲸鱼 / 套牢鲸鱼,是否高位接盘、浮亏、套牢、买在派发后段,买入市值 | 买入时间 | 持有时长 | 未实现利润 | 当前持仓占比,后续卖出情况 | 历史胜率 | 是否在早期钱包卖出后入场,GMGN traders | GMGN holders | GMGN market kline,买入行 | 持仓快照 | K线阶段,entry_stage | avg_buy_market_cap | holding_duration_type | unrealized_profit | current_holding_pct | exit_status,识别高位接盘、套牢、风险观察,没有持仓收益数据时，只能写接盘风险候选
基础设施地址,地址是否属于 CEX、LP、池子、路由、程序、可疑中转、回收节点、分发源,地址类型 | 出现代币数 | 对手方数 | 边关系数 | 路由 / 池交互数,回流次数 | 资金源次数 | 是否多 token 重复出现 | 是否连接执行组,链上 trace | GMGN activity | 内部边库,地址标签 | 交易路径 | 边关系 | 转账节点,entity_type | entity_name | infrastructure_level | exclusion_reason | appeared_token_count | counterparty_count | funding_source_count | return_flow_count | router_interaction_count | lp_interaction_count | keep_edges,排除普通钱包评分，只保留关系边和结构节点证据,类型未明确时，只能写可疑中转候选或待复查节点
