代币地址,代币符号,候选筛选等级,模式,风险门禁,风险等级,信号等级,策略类型,信号时间,信号价格,信号置信分,建议纸面仓位SOL,止损价格,最大浮盈_pct,最终收益率_pct,自动准备输出,状态,说明
iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump,NKT,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-05-02 00:40:00 UTC,0.00037689158,99.0,0.094456,0.00027713849956,46.1092,-26.4673,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump,UNIPUMP,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-05-01 19:01:00 UTC,0.00021903091,95.0,0.125662,0.00017545544616,5.4875,-19.8947,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump,lolcat,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-05-01 14:52:00 UTC,3.4589665e-05,95.0,0.150147,2.883035936e-05,0.6107,-16.6504,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,AALIEN,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-30 16:34:00 UTC,4.8220098e-05,99.0,0.185696,4.1728307712e-05,51.0234,49.547,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk,HIIE,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,SX_失效信号,风险监控,2026-04-29 07:33:00 UTC,4.7284308e-05,0.0,0.0,6.3973707454e-05,,,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump,1000x,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-28 23:11:00 UTC,0.00017055563,99.0,0.060928,0.00010057334932,55.1465,11.0744,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump,SCRIBBELON,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-05-01 21:05:00 UTC,0.00057413963,99.0,0.11938,0.00045390555696000004,3.9379,-20.9416,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump,freetrump,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-05-02 00:46:00 UTC,0.00018094534,99.0,0.179253,0.000155709291,3.3517,-13.9468,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA,UNITED,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-29 16:32:00 UTC,0.00020241965,99.0,0.056305,0.00011254296944799999,332.6617,162.6851,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump,GRUMP,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-05-01 22:36:00 UTC,0.00024935266,99.0,0.2,0.00022478260892,175.6988,119.6045,"{'json': 'data/gmgn_candidates_live_run/candidate_signal_outputs/21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run/candidate_signal_outputs/21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run/candidate_signal_outputs/21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run/candidate_signal_outputs/21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run/candidate_signal_outputs/21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run/candidate_signal_outputs/21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
