role_name,role_code,required_conditions,optional_conditions,negative_conditions,evidence_needed,output_action,gmgn_note_template,risk_level,tracking_level
新钱包狙击,NEW_SNIPER,is_new=true AND early_buy=true,bundler/fresh_wallet/tagged sniper; small wallet_age_days,no token/funding path evidence of same-source exit,"first_buy_time, wallet_age_days, gmgn_tags, buy_usd",A3 observe,{symbol}-新狙-{roi}x-{source_or_tag}-{group},R1,A3
临时执行钱包,TEMP_EXEC,wallet_age_days low OR first_seen near launch; short holding window,fast buy/sell; funding from fresh source,long-term history stable result wallet,"age, first_seen_time, buy/sell time, funding edge",A3 observe,{symbol}-临执-{roi}x-{source}-短持,R2,A3
同源执行组成员,SAME_SRC_MEMBER,same_source_group_id not null AND shared funding/token source,similar buy time/sell time/amount pattern,single weak shared tag only,funding_edges/token_edges/time_window,A4 track,{symbol}-{group}成员-{roi}x-同源,R3,A4
分发接收钱包,DIST_RECV,transfer_in=true AND token_source_address not null,holds or partial sells after receive,source is known CEX deposit only without token edge,"token_transfer_in edge, holding/sell pct",A3/A4 track,{symbol}-分发接收-{status}-{source}-R{risk},R2,A3
分发派发钱包,DIST_SEND,transfer_in=true AND sold_pct>=0.6,multiple downstream wallets,single dust transfer only,token edge + sell behavior,A4 risk track,{symbol}-分发卖出-已清仓-R{risk},R3,A4
利润回流节点,PROFIT_BACKFLOW,sell/profit then native/token flow to common sink,multiple wallets flow to same sink,only CEX deposit without shared pattern,"sell tx, funding out/backflow edges",A4 core monitor,{symbol}-回流节点-多地址回流-A4,R4,A4
核心资金源候选,CORE_FUND_SRC,funding_source funds multiple candidate wallets,reused across token or group,public router/CEX/program infra only,"funding_edges, recurrence count",A4 core monitor,{symbol}-资金源-候选-{group}-R{risk},R4,A4
结果钱包,RESULT_WALLET,positive pnl/roi AND stable history or smart evidence,smart_degen/kol/top trader,only one lucky trade with no history,"pnl, roi, history recurrence",A3/A4 review,{symbol}-结果钱包-{roi}x-可追踪,R0,A3
接盘鲸鱼,BAG_WHALE,large buy_usd at high stage AND poor/negative pnl or high sold pct,top holder/trader,early strategic accumulator with support evidence,"buy_usd, stage, pnl, sold_pct",R risk note,{symbol}-接盘鲸鱼-高位-浮亏R{risk},R2,A2
套牢钱包,TRAPPED_HOLDER,large holding_pct AND negative/unrealized loss,"no sell, late entry",early core wallet with known support behavior,"holding_pct, unrealized_pnl, first_buy_time",A2 observe,{symbol}-套牢-浮亏-{holding_pct}-R{risk},R1,A2
可疑中转节点,SUSPICIOUS_TRANSIT,rat_trader OR many pass-through transfers,"short holding, repeated transfer in/out",known router/pool/program,"tags, transfer edges, hold time",R relation only,{symbol}-中转-可疑-{tag}-R{risk},R3,A3
LP/池子/路由器/基础设施,INFRA,addr_type=2 OR known pool/router/program,pool address/native router,normal wallet behavior,"addr_type, pool/security source",I exclude scoring,{symbol}-基础设施-{type}-I,R0,A0
普通交易钱包,NORMAL,no strong structure evidence,small holding or normal trade,has same-source/distribution/backflow evidence,basic wallet fields,A1/A2 record,{symbol}-普通-{status}-A{tracking},R0,A1
噪音钱包,NOISE,dust amount OR missing key fields AND low impact,late small buyer,top holder/trader or source edge,"amount, timing, missing quality",A0 ignore core,{symbol}-噪音-低权重,R0,A0
